Fecha,Hr.Med(%),NubTotOct,NubbajOct,Prec.(mm),Pres.n. mar(Hp),TdMed(C),Tmax,Tmed,Tmin,Dir.,Rch.,Vel.,VisKm
01/01/2018,87.6,7.4,5.4,----,1012.2,16.9,24.2,18.9,16.3,SE,----,9.3,9.1
02/01/2018,63.8,3.1,2.3,0.0,1009.1,13.3,31.1,22.2,15.6,NNW,----,7.6,11.4
03/01/2018,63.7,2.5,1.1,0.0,1008.6,15.1,33.0,23.4,15.5,NNE,----,9.0,14.6
04/01/2018,43.6,0.6,0.2,0.0,1003.1,12.2,35.6,26.9,17.9,N,----,19.7,12.5
05/01/2018,55.3,2.6,4.8,0.0,1003.6,12.6,37.3,24.3,15.5,S,57.4,22.7,10.5
06/01/2018,52.1,4.9,2.1,0.0,1016.3,9.9,28.0,21.3,13.5,SSW,----,12.7,12.1
07/01/2018,37.7,2.8,2.0,0.0,1015.6,7.3,30.3,23.0,14.0,NNE,----,18.7,12.8
08/01/2018,45.5,1.8,0.8,0.0,1015.6,10.8,32.7,24.6,15.6,NNE,----,19.0,11.9
09/01/2018,49.5,2.4,0.2,----,1014.4,10.6,33.0,24.2,12.6,NNE,----,10.9,12.1
10/01/2018,46.6,3.9,2.4,Ip,1012.4,11.6,33.8,24.8,16.5,N,----,10.9,10.8
11/01/2018,63.1,4.0,2.3,Ip,1011.7,16.7,34.8,24.9,17.5,N,----,8.8,11.8
12/01/2018,67.6,5.9,4.0,8.3,1008.2,18.9,35.4,26.0,19.4,N,----,10.9,13.1
13/01/2018,87.3,6.8,4.4,12.0,1005.9,20.3,33.4,23.5,18.4,SSE,----,12.7,9.2
14/01/2018,73.2,7.0,4.0,4.3,1012.5,14.7,25.9,20.1,17.2,S,----,17.1,10.4
15/01/2018,65.9,0.9,1.2,0.0,1012.6,12.4,27.9,20.0,12.1,NE,----,11.8,13.1
16/01/2018,69.8,2.9,2.7,0.0,1012.8,16.0,29.0,22.3,14.9,NE,----,12.3,10.5
17/01/2018,80.3,4.5,3.4,19.0,1013.9,15.2,30.1,19.6,14.7,WSW,----,11.6,9.6
18/01/2018,69.5,0.9,1.0,0.0,1014.8,13.2,30.8,20.0,12.2,NNE,----,10.9,15.0
19/01/2018,53.8,1.2,0.8,0.0,1014.9,11.7,31.6,23.2,15.2,N,----,11.4,12.6
20/01/2018,58.9,4.0,1.0,0.0,1012.2,13.6,31.7,23.3,14.5,NNE,----,10.9,11.9
21/01/2018,64.8,3.0,1.9,0.0,1009.2,13.9,29.6,21.7,13.8,NNE,----,12.7,14.8
22/01/2018,49.8,2.7,2.1,Ip,1004.7,13.3,32.3,24.9,14.9,NNW,----,10.3,11.6
23/01/2018,70.8,4.4,3.1,8.9,1003.5,17.9,34.0,24.9,18.3,N,----,12.3,12.1
24/01/2018,60.4,4.5,3.0,0.0,1011.6,13.2,33.0,22.6,18.0,SSW,----,18.1,10.2
25/01/2018,64.1,4.5,3.6,Ip,1016.9,10.8,24.3,18.1,10.4,SSW,----,10.4,11.2
26/01/2018,67.7,7.2,4.5,Ip,1012.8,15.5,28.0,21.7,17.8,ESE,----,9.7,10.1
27/01/2018,79.6,5.5,3.6,1.0,1007.8,18.2,29.8,22.6,18.2,SSW,----,11.8,9.5
28/01/2018,64.6,3.4,1.8,0.0,1011.1,13.7,30.6,21.8,15.0,SSE,----,8.8,11.5
29/01/2018,63.9,2.4,1.9,0.0,1011.2,13.7,30.6,22.3,13.5,NE,----,11.4,10.5
30/01/2018,63.0,2.6,1.2,0.0,1006.3,15.1,31.7,23.2,14.3,NNE,----,16.2,11.1
31/01/2018,75.3,7.8,3.4,4.0,1010.6,18.9,32.1,24.1,17.1,N,----,9.0,10.5
01/02/2018,61.2,3.0,1.5,0.0,1013.8,14.4,31.8,23.1,15.6,N,,8.6,12.5
02/02/2018,61.9,0.9,1.0,0.0,1012.3,15.9,33.1,24.9,16.5,NNE,,12.3,10.6
03/02/2018,55.6,0.4,0.3,0.0,1010.0,14.7,34.6,25.8,17.2,NNE,,12.3,11.9
04/02/2018,50.1,0.4,0.0,0.0,1010.1,12.4,36.2,26.1,14.4,NNE,,13.2,10.5
05/02/2018,48.7,0.6,0.3,0.0,1009.8,13.7,36.9,27.1,16.8,NNE,,12.7,11.1
06/02/2018,56.0,1.1,0.6,0.0,1007.4,16.3,37.5,27.2,18.3,NE,,12.5,12.5
07/02/2018,61.7,3.6,2.1,15.0,1006.4,16.5,36.0,26.6,18.6,NNW,,13.0,10.4
08/02/2018,71.2,2.1,1.8,4.0,1006.1,17.0,36.8,22.5,16.7,NNW,,9.7,10.0
09/02/2018,76.6,7.4,3.9,33.5,1005.9,16.5,35.0,22.1,16.9,SSW,,19.9,8.2
10/02/2018,69.7,5.6,2.4,14.0,1012.9,12.2,26.3,18.5,12.5,SSW,,10.0,9.7
11/02/2018,78.9,7.0,4.9,3.0,1017.8,13.8,25.6,18.5,13.1,SSW,,15.1,9.8
12/02/2018,64.3,3.8,1.6,Ip,1024.2,7.5,22.8,14.2,7.1,N,,14.4,12.1
13/02/2018,65.6,0.6,1.0,0.0,1018.5,10.8,28.0,18.0,10.3,NNE,,16.9,15.0
14/02/2018,55.9,2.0,1.5,0.0,1017.0,10.7,29.2,20.7,11.3,NNE,,19.0,11.9
15/02/2018,58.7,2.8,1.3,0.0,1015.0,12.7,30.1,22.1,13.1,NE,,16.0,10.6
16/02/2018,62.9,3.4,0.8,0.0,1013.7,15.8,33.9,24.2,15.2,NNE,,14.6,11.9
17/02/2018,71.1,5.1,3.4,0.0,1011.8,17.5,34.3,24.4,17.9,N,,10.2,13.8
18/02/2018,69.8,3.6,2.2,0.0,1006.3,17.1,34.0,24.2,16.3,NNW,,10.0,12.2
19/02/2018,65.4,4.8,2.8,Ip,1004.0,16.7,33.2,24.4,18.3,SE,,15.1,14.2
20/02/2018,70.9,4.1,3.0,0.8,1008.7,14.2,28.9,20.5,13.9,WSW,,12.7,11.1
21/02/2018,64.1,3.6,2.7,0.0,1015.7,11.5,29.5,19.8,9.9,SSW,,12.7,11.3
22/02/2018,62.7,1.0,0.5,0.0,1016.1,11.6,30.6,20.1,9.7,NNE,,10.9,14.6
23/02/2018,61.6,2.0,0.3,0.0,1014.5,12.1,31.6,21.3,11.4,NE,,14.6,11.9
24/02/2018,60.1,5.2,2.6,0.0,1016.0,12.3,29.6,21.4,14.4,E,,9.0,10.6
25/02/2018,82.6,7.8,3.5,3.0,1017.5,16.6,27.6,20.2,16.3,SW,,9.3,11.0
26/02/2018,74.9,3.5,2.1,Ip,1015.9,14.3,28.8,19.0,12.5,ENE,,8.8,11.2
27/02/2018,79.3,4.4,2.9,Ip,1011.8,16.1,29.9,20.6,13.3,NNW,,8.3,10.4
28/02/2018,73.6,5.6,2.4,0.0,1012.4,15.6,28.6,21.0,13.3,SW,,10.2,13.8
01/03/2018,67.3,2.8,1.8,0.0,1013.3,14.3,31.6,21.5,14.1,WNW,----,9.5,11.5
02/03/2018,58.7,2.1,2.3,0.0,1014.3,12.9,32.0,22.6,14.6,NW,----,11.6,12.1
03/03/2018,64.7,2.9,1.9,0.0,1011.1,15.3,32.8,23.4,13.8,N,----,12.5,11.2
04/03/2018,70.5,3.6,2.1,Ip,1007.7,17.1,33.0,23.9,16.5,N,----,7.6,11.5
05/03/2018,61.4,6.6,3.1,0.0,1010.2,14.9,34.1,23.7,19.8,SSW,----,13.7,13.4
06/03/2018,61.6,2.1,1.8,0.0,1017.5,11.0,27.0,19.2,10.1,SSW,----,11.1,11.5
07/03/2018,63.1,1.1,1.8,0.0,1015.9,11.5,29.3,20.0,11.1,NNE,----,14.1,10.6
08/03/2018,55.2,2.6,2.2,0.0,1011.1,10.9,31.0,21.4,13.6,NNE,----,17.6,11.2
09/03/2018,58.0,1.2,1.8,0.0,1008.7,13.4,32.6,23.1,12.5,NNE,46.3,14.8,14.4
10/03/2018,57.2,0.5,2.0,0.0,1003.6,16.0,36.8,26.3,16.9,NNE,----,18.5,10.6
11/03/2018,52.4,6.8,3.1,0.0,1012.7,10.7,37.3,22.3,15.8,S,----,21.3,10.4
12/03/2018,56.1,2.1,3.2,0.0,1013.1,6.4,26.4,17.4,9.4,NNE,----,16.2,15.0
13/03/2018,41.2,6.5,4.1,0.0,1009.4,6.0,28.4,21.2,17.3,SE,----,17.4,10.4
14/03/2018,54.5,4.0,2.8,0.0,1007.7,10.1,31.2,19.8,12.8,NNE,----,11.1,10.8
15/03/2018,39.3,0.9,1.4,0.0,1010.2,5.9,33.4,22.7,13.1,SSW,----,20.6,13.2
16/03/2018,36.6,0.8,0.3,0.0,1011.8,0.6,28.1,17.2,7.5,NNE,53.7,21.3,10.4
17/03/2018,61.5,1.0,1.6,0.0,1003.9,13.5,34.2,22.3,11.4,NNE,----,16.0,12.4
18/03/2018,59.8,4.1,3.4,0.0,1003.4,13.3,34.2,23.7,16.0,SSW,51.9,18.8,9.8
19/03/2018,39.2,0.4,1.5,0.0,1014.6,0.9,27.2,16.2,4.5,NNW,----,11.1,11.2
20/03/2018,43.6,0.5,1.0,0.0,1013.1,3.0,28.8,18.0,5.2,ENE,48.2,12.5,10.9
21/03/2018,49.4,0.0,---,0.0,1019.4,4.7,29.5,16.5,4.8,SSE,----,14.0,11.3
22/03/2018,62.6,1.1,1.2,0.0,1009.9,10.6,30.5,18.7,9.6,NNE,----,17.1,11.6
23/03/2018,67.7,0.6,1.2,0.0,1004.1,14.7,34.2,22.2,13.9,NNE,----,11.6,12.9
24/03/2018,47.0,5.1,3.4,3.0,1010.3,9.5,35.3,23.4,14.4,S,----,17.8,9.9
25/03/2018,41.4,0.4,1.0,0.0,1023.4,0.9,22.5,14.8,5.2,S,----,14.4,12.8
26/03/2018,47.5,1.0,0.0,0.0,1019.8,1.2,22.9,13.9,5.8,NNE,----,21.8,12.5
27/03/2018,52.1,3.8,0.1,0.0,1018.4,4.0,26.5,15.1,5.5,NNE,----,13.7,14.0
28/03/2018,50.6,0.0,---,0.0,1014.0,6.2,30.0,17.9,7.0,NE,----,14.4,12.5
29/03/2018,48.0,0.0,---,0.0,1012.8,9.5,33.2,21.6,8.9,ENE,----,11.9,11.0
30/03/2018,55.5,1.0,1.2,0.0,1012.6,12.3,33.6,23.3,12.2,NNE,----,10.2,14.6
31/03/2018,61.9,3.6,1.8,0.0,1010.3,14.5,35.0,23.8,14.9,NNE,----,11.1,10.6
01/04/2018,61.4,5.5,2.8,0.0,1011.3,13.9,34.2,23.1,16.5,SSW,----,17.8,11.9
02/04/2018,84.4,7.8,6.4,0.7,1016.7,15.0,27.5,18.4,14.5,S,----,13.0,10.4
03/04/2018,76.2,1.8,1.8,0.0,1013.8,11.7,28.7,16.4,8.5,ENE,----,5.8,10.4
04/04/2018,56.6,0.4,1.0,0.0,1010.8,10.6,31.2,21.3,11.1,N,----,8.3,11.2
05/04/2018,59.2,1.1,2.2,0.0,1007.9,12.5,32.4,22.5,10.3,NNE,----,10.2,11.9
06/04/2018,58.7,7.2,4.5,Ip,1013.4,9.5,32.6,19.7,11.5,SSW,----,15.3,10.1
07/04/2018,93.7,8.0,8.0,11.0,1013.9,13.4,17.0,14.4,12.6,SSW,----,6.7,8.4
08/04/2018,97.0,8.0,7.7,3.8,1015.0,16.4,20.2,16.8,13.9,SW,----,6.4,4.9
09/04/2018,86.6,7.1,6.0,Ip,1013.7,17.8,27.0,20.1,16.8,NNE,----,15.5,9.6
10/04/2018,70.3,6.1,3.2,----,1004.8,18.7,29.6,25.3,18.7,NNE,----,19.6,11.3
11/04/2018,65.4,5.6,1.2,0.0,1001.0,18.2,33.1,25.6,20.1,N,----,10.4,11.9
12/04/2018,52.2,6.8,2.8,0.0,1014.8,9.3,34.2,21.1,14.0,S,----,24.8,11.9
13/04/2018,51.3,7.4,3.8,Ip,1027.0,3.2,16.7,13.6,10.5,SSE,----,8.4,12.7
14/04/2018,72.7,7.9,5.2,Ip,1025.3,8.2,15.8,13.3,10.8,NE,----,10.9,10.0
15/04/2018,82.2,7.2,6.8,Ip,1024.7,13.3,24.6,16.1,11.7,NNE,----,13.9,10.2
16/04/2018,76.5,4.5,5.1,0.0,1020.2,15.4,27.8,20.2,15.1,NE,51.9,19.9,11.0
17/04/2018,70.8,3.6,3.1,0.0,1015.0,15.0,31.5,21.6,15.3,NNE,----,15.8,11.9
18/04/2018,64.9,4.2,2.5,0.0,1014.6,15.7,32.0,24.0,18.0,NNE,----,17.4,12.1
19/04/2018,56.0,4.4,3.4,0.0,1011.6,15.0,32.5,25.1,18.7,NNE,----,15.1,10.6
20/04/2018,74.5,2.1,1.5,0.0,1010.8,16.0,32.5,21.7,13.4,NW,----,10.4,10.5
21/04/2018,79.7,2.8,3.4,0.0,1012.2,18.3,30.0,22.5,16.3,ENE,----,9.3,10.4
22/04/2018,75.7,2.4,2.2,0.0,1008.9,17.7,34.3,22.7,15.6,ENE,----,10.0,10.1
23/04/2018,66.0,5.4,3.1,0.0,1013.1,13.8,35.8,22.0,15.5,SSW,----,14.1,13.9
24/04/2018,85.2,6.9,5.8,Ip,1018.1,15.2,22.5,17.8,13.9,NNE,----,6.0,9.0
25/04/2018,92.4,8.0,8.0,Ip,1016.4,18.8,22.4,20.1,17.4,NNE,----,11.1,5.3
26/04/2018,82.6,7.5,4.2,0.0,1012.5,18.6,29.0,21.8,19.2,NNE,48.2,19.0,9.9
27/04/2018,67.7,2.8,1.1,0.0,1008.6,16.2,32.4,23.4,17.1,N,48.2,12.7,11.8
28/04/2018,57.7,5.8,4.4,0.0,1014.6,12.4,33.1,21.7,14.1,S,----,12.0,10.5
29/04/2018,76.2,6.8,5.1,0.0,1012.4,16.6,29.2,21.4,16.3,ESE,----,7.4,11.0
30/04/2018,91.5,6.9,7.4,4.0,1014.9,17.0,27.8,19.2,16.2,NNE,----,26.9,4.2
01/05/2018,97.7,8.0,8.0,3.7,1018.8,13.3,17.0,13.8,12.0,SSW,----,13.4,3.1
02/05/2018,96.6,7.9,7.9,1.1,1015.2,15.1,20.0,15.3,12.5,SSW,----,5.6,2.8
03/05/2018,97.1,7.6,7.5,4.0,1013.7,16.0,20.3,16.7,14.5,S,----,8.6,5.5
04/05/2018,98.7,8.0,8.0,2.0,1013.2,16.5,18.6,16.6,14.9,SSW,----,6.3,2.8
05/05/2018,99.1,8.0,8.0,10.7,1018.4,16.4,18.7,16.7,14.9,S,----,10.4,2.0
06/05/2018,96.6,7.8,7.5,4.9,1020.5,17.1,21.6,17.4,15.0,E,----,5.8,3.0
07/05/2018,92.3,7.9,7.1,4.3,1017.1,18.1,23.0,19.4,17.0,ENE,----,10.4,4.6
08/05/2018,96.2,8.0,6.9,50.0,1014.2,18.5,24.1,19.5,17.7,ENE,51.9,13.2,4.0
09/05/2018,97.6,7.2,6.8,26.7,1014.8,16.1,19.1,16.5,13.6,ENE,----,6.7,5.6
10/05/2018,91.2,7.2,5.0,23.0,1013.2,15.0,19.7,16.7,11.7,SSW,----,11.8,8.9
11/05/2018,63.9,1.2,4.0,10.0,1017.5,6.7,23.3,14.6,7.3,WSW,----,10.9,10.6
12/05/2018,64.5,0.2,---,0.0,1018.2,6.9,24.0,14.9,7.4,NNE,----,13.4,12.5
13/05/2018,66.7,2.8,0.4,0.0,1014.4,9.3,23.4,16.2,10.7,NNE,----,20.4,12.5
14/05/2018,76.0,5.1,0.0,0.0,1008.9,11.9,24.6,16.4,10.3,NE,----,15.3,11.1
15/05/2018,69.3,5.6,3.6,0.0,1014.8,9.2,25.1,16.5,11.3,SSW,----,16.0,11.5
16/05/2018,60.1,7.4,5.9,0.0,1022.9,5.1,19.3,13.6,10.9,SE,----,10.7,15.0
17/05/2018,62.0,6.6,5.9,0.0,1016.9,5.7,17.6,12.8,10.5,NE,----,17.1,11.4
18/05/2018,76.6,6.1,3.9,0.0,1016.3,8.9,19.0,13.4,8.4,SSE,----,7.2,11.2
19/05/2018,64.5,0.8,0.2,0.0,1024.5,4.5,19.4,12.0,4.5,WSW,----,10.7,15.0
