Fecha,Tmax,Tmin,Tmed,TdMed(C),Hr.Med(%),Dir.,Vel.,Rch.,Pres.n. mar(Hp),Prec.(mm),NubTotOct,NubbajOct,VisKm
01/01/2019,33.5,20.2,26.1,22.0,77.5,NE,10.6,----,1006.1,----,5.1,3.3,13.9
02/01/2019,38.1,23.0,29.8,22.4,66.4,NE,11.6,----,1002.4,0.0,4.8,2.6,12.5
03/01/2019,38.1,13.7,22.9,14.9,67.6,SSW,17.6,----,1011.1,9.0,7.0,3.5,9.4
04/01/2019,28.2,18.4,22.3,18.0,78.9,NE,14.1,----,1011.5,Ip,4.6,4.6,10.9
05/01/2019,32.1,19.5,25.0,20.1,75.0,NE,19.5,----,1009.6,0.0,5.6,2.6,13.5
06/01/2019,32.1,18.2,23.6,19.6,84.8,SSE,18.5,57.4,1005.6,14.0,5.9,5.0,7.8
07/01/2019,30.0,13.4,18.4,14.9,80.0,SW,13.7,----,1004.8,31.0,3.0,1.8,11.0
08/01/2019,30.2,15.3,23.7,17.9,72.9,NE,13.2,----,1004.5,0.0,2.5,2.2,12.4
09/01/2019,30.2,16.0,22.3,20.0,93.2,N,9.8,----,1004.4,12.0,5.3,6.0,6.4
10/01/2019,24.5,11.3,17.4,13.9,83.4,SSW,19.0,----,1013.4,19.0,7.6,5.9,8.4
11/01/2019,23.6,10.2,15.4,11.5,76.6,ENE,14.4,----,1020.4,0.0,5.0,4.0,11.9
12/01/2019,26.0,16.6,20.9,17.4,80.8,NE,11.4,----,1014.3,0.0,6.2,5.6,11.5
13/01/2019,27.5,16.9,21.5,19.2,90.1,S,13.7,----,1011.9,1.1,7.6,6.5,8.2
14/01/2019,24.3,17.4,20.0,17.2,82.1,SSW,11.4,----,1014.8,0.2,6.9,4.1,9.6
15/01/2019,26.0,16.6,20.6,17.7,84.5,S,12.0,----,1012.1,5.0,7.0,5.1,9.9
16/01/2019,30.5,17.9,23.6,18.3,73.7,NNE,13.0,----,1009.5,0.0,1.8,2.2,12.8
17/01/2019,31.2,14.6,20.7,16.9,87.0,SSW,22.0,48.2,1013.4,29.0,5.5,4.1,7.5
18/01/2019,21.0,10.5,14.6,11.8,82.1,SSW,13.2,----,1023.4,14.0,5.8,4.9,10.1
19/01/2019,23.9,9.8,17.1,12.9,78.1,NNE,12.3,----,1021.9,0.0,2.5,3.3,11.8
20/01/2019,26.3,11.9,18.8,14.0,75.4,NNE,17.1,----,1016.7,0.0,2.0,1.6,11.8
21/01/2019,29.2,16.4,23.0,16.6,68.6,NNE,13.9,----,1010.7,0.0,4.8,3.5,12.5
22/01/2019,33.4,20.1,26.0,21.3,76.1,NNE,16.4,----,1008.9,0.0,3.9,1.9,11.1
23/01/2019,33.4,22.0,27.7,24.0,84.7,ENE,13.0,----,1008.0,0.0,3.6,4.0,10.3
24/01/2019,30.4,21.5,24.1,22.8,92.3,ENE,12.5,----,1011.6,32.0,7.5,7.2,7.8
25/01/2019,35.3,21.5,27.8,25.0,83.8,NE,16.0,----,1007.3,0.0,4.9,4.8,9.0
26/01/2019,36.4,18.3,23.9,20.8,87.9,NNE,12.3,----,1012.4,96.0,7.8,6.5,7.6
27/01/2019,30.2,18.3,23.9,20.2,80.9,NE,10.7,----,1012.4,0.0,2.9,1.6,11.9
28/01/2019,33.4,19.9,26.2,22.4,80.2,NNE,13.7,----,1007.9,0.0,2.4,2.5,10.9
29/01/2019,34.5,23.3,29.0,24.4,77.5,NE,16.2,----,1006.2,0.0,2.4,2.1,12.1
30/01/2019,35.0,18.8,26.0,21.0,78.3,SSE,14.8,----,1007.4,16.7,6.0,4.6,11.5
31/01/2019,30.5,18.9,24.1,21.1,85.9,ENE,8.8,----,1010.6,0.0,5.1,3.8,9.0
01/02/2019,27.2,20.5,23.0,21.4,91.5,NE,9.5,----,1011.8,Ip,7.4,6.0,7.8
02/02/2019,29.1,17.5,23.4,19.2,79.2,SSW,10.2,----,1017.4,0.0,4.0,4.8,10.2
03/02/2019,29.1,15.4,20.6,14.6,71.5,SSE,11.8,----,1024.2,Ip,5.5,3.4,10.0
04/02/2019,24.5,12.6,19.0,14.0,74.3,NE,8.8,----,1022.5,0.0,4.4,4.4,10.0
05/02/2019,26.3,12.4,19.2,14.4,77.1,NNE,15.2,----,1019.1,0.0,1.4,1.9,11.6
06/02/2019,28.5,14.3,21.0,15.7,73.3,NE,18.3,----,1013.0,0.0,0.4,1.0,10.2
07/02/2019,30.5,15.9,23.2,18.5,76.0,NE,18.5,----,1007.2,0.0,1.5,0.3,12.8
08/02/2019,32.0,17.3,24.6,20.0,77.9,NE,14.4,----,1006.5,0.0,4.1,0.9,11.0
09/02/2019,32.0,18.1,24.7,18.2,69.9,WSW,13.0,----,1007.9,0.4,6.9,4.0,10.8
10/02/2019,32.6,17.8,25.0,20.2,76.5,NNE,11.1,----,1005.3,----,1.9,0.5,12.1
11/02/2019,32.8,16.4,22.3,17.6,82.4,S,21.2,----,1005.7,23.0,6.0,5.8,11.1
12/02/2019,22.4,13.1,16.8,10.3,66.4,SSW,20.6,51.9,1025.5,Ip,7.1,5.0,11.4
13/02/2019,21.7,10.5,15.9,11.6,77.6,NE,10.9,----,1021.3,0.0,4.8,2.7,13.2
14/02/2019,27.8,10.8,18.8,14.4,76.6,ENE,10.9,----,1015.2,0.0,2.9,2.1,12.1
15/02/2019,28.1,13.4,20.9,16.6,79.5,ENE,8.1,----,1015.1,0.0,0.9,1.8,11.9
16/02/2019,28.5,13.3,21.1,16.6,78.1,NNE,12.3,----,1015.8,0.0,1.6,1.9,12.5
17/02/2019,29.3,14.0,21.7,16.3,73.9,NNE,16.7,----,1013.0,0.0,0.5,0.8,12.5
18/02/2019,31.2,16.3,24.0,18.6,74.0,NNE,17.4,----,1008.5,0.0,0.8,1.5,15.0
19/02/2019,33.0,16.1,24.9,18.5,71.5,ENE,10.0,----,1007.5,0.0,1.0,0.7,11.5
20/02/2019,33.6,18.5,26.4,19.9,70.8,NNE,13.2,----,1007.0,0.0,0.6,1.5,13.8
21/02/2019,33.9,22.9,28.0,20.1,63.4,NNE,22.7,----,1005.7,0.0,0.4,1.0,12.5
22/02/2019,35.9,20.3,28.1,20.4,64.7,NNE,16.6,----,1006.5,0.0,0.8,1.0,12.3
23/02/2019,36.7,22.9,26.2,21.3,77.0,S,14.4,----,1006.4,Ip,6.2,5.3,14.2
24/02/2019,28.0,18.2,22.3,19.5,86.1,SSW,11.0,----,1005.4,16.0,7.0,5.5,9.1
